feature	diet_dairy	diet_meat	time_baseline	time_endpoint	n_embeddings	max_hits	predicted_class	avg_probability	21tdsqsa	7o4yga2v	8lofhbbf	ai9n4jxs	q2gzu1o3	qb4y98x0	wcksnlsg
COG0166	5	2	0	7	7	7	time_endpoint	0.8830861018025083	0.9326805180750166	0.941523343035068	0.7734196585472948	0.9977832991350118	0.7498656558620828	0.9687859232831616	0.8175443146799226
ENOG410ZICD	1	6	7	0	7	7	time_baseline	0.7765197257013033	0.6040736842697884	0.7739476686669181	0.8121285820130524	0.862469751402051	0.7616288597873644	0.9897643779830207	0.6316251557869283
K07489	2	5	7	0	7	7	time_baseline	0.760894412479138	0.8614284094844699	0.9932435033938972	0.7375600939800373	0.6686796936481489	0.8218910276513676	0.5820416060269309	0.6614165531691139
P_AQ.240	0	7	5	2	7	7	diet_meat	0.7990653948414772	0.9057885963914528	0.6745999049616265	0.995648510001019	0.9528661100135905	0.6894569036479599	0.5646829656000089	0.8104147732746818
P_AQ.258	0	7	6	1	7	7	diet_meat	0.7872082057517025	0.5824538484237385	0.800649229431546	0.9777128025002916	0.6173778031902941	0.9492387398607528	0.9927103366560308	0.5903146801992633
P_AQ.285	4	3	0	7	7	7	time_endpoint	0.7847042628275818	0.9529732931680472	0.9938316033177562	0.6493176416096131	0.6321809439920807	0.5616596674954618	0.9432756996611124	0.7596909905490007
P_LP.2298	7	0	1	6	7	7	diet_dairy	0.7594614441931778	0.924858821052732	0.5524200871519895	0.7711872464561176	0.8754735996666289	0.6049657743204349	0.9258256785890892	0.6614989021152524
P_LP.2296	3	4	7	0	7	7	time_baseline	0.7422898078853065	0.5348641573618056	0.8963405862607154	0.5718699120310051	0.9415324883073746	0.8312303182267815	0.8438179866965492	0.5763732063129143
K07473	0	7	5	2	7	7	diet_meat	0.8177871852928872	0.8094236078199314	0.6503742413978254	0.944687038632558	0.6161099004195016	0.9336454323736462	0.8115730364590584	0.9586970399476892
P_AQ.410	2	5	7	0	7	7	time_baseline	0.7620716570017818	0.7704557928533606	0.8848805032429423	0.7257470864860887	0.9553243166704268	0.6019524840917951	0.5846410311695684	0.8115003844982909
K07470	0	7	6	1	7	7	diet_meat	0.810038092998113	0.9624187497495256	0.7888288958459113	0.9991881574968822	0.6037315992968892	0.7121312841242048	0.7996936592385041	0.8042743052348745
P_AQ.613	0	7	5	2	7	7	diet_meat	0.7274787132934601	0.6771405477606024	0.6912259819369628	0.97421761372787	0.7609982484146552	0.838871807488845	0.6279498553523234	0.5219469383729615
P_AQ.701	0	7	7	0	7	7	diet_meat	0.8167087963522777	0.8700337702625784	0.7630252629792125	0.9992942308260432	0.8833301455405835	0.6670367473471464	0.7020546404167289	0.8321867770936507
K07464	0	7	4	3	7	7	diet_meat	0.792882243019935	0.8056876164878158	0.804445735658519	0.9898612002452796	0.8356745731539599	0.934864646351385	0.5725860689233889	0.6070558603191969
P_AQ.754	1	6	7	0	7	7	time_baseline	0.7761739407107379	0.9952898580472158	0.5483816620352748	0.7038387303200893	0.995297545828794	0.7013449604434734	0.7711855088354819	0.7178793194648356
P_AQ.851	2	5	7	0	7	7	time_baseline	0.8654939059318235	0.799682886792953	0.9816698701438292	0.6884288153375417	0.9631743201445772	0.7441313706724964	0.9212855660912976	0.9600845123400694
K07460	0	7	4	3	7	7	diet_meat	0.8224397350453234	0.517061180694887	0.6253141694217447	0.9802871013924556	0.9271248428959448	0.9740537869771236	0.923131693862631	0.810105370072478
P_AQ.976	4	3	7	0	7	7	time_baseline	0.8765439674132945	0.9966355858194827	0.9985392227569008	0.6933132327815276	0.9745607144483752	0.944195318758998	0.8993195822592739	0.6292441150685028
ENOG410ZJQZ	1	6	7	0	7	7	time_baseline	0.8820554050449904	0.9951005893844438	0.9998715144036704	0.7594791520629015	0.8596974534253794	0.84754304561929	0.868406810239036	0.8442892701802112
ENOG410ZKS3	4	3	7	0	7	7	time_baseline	0.7556651165782442	0.5115193248475807	0.9339827933545384	0.5540157089655329	0.92374558529646	0.7668687904122862	0.9290286886782526	0.6704949244930579
ENOG410ZMWE	3	4	7	0	7	7	time_baseline	0.7989192795804011	0.712893426598596	0.7051080636706931	0.7670328017466815	0.9413147864367888	0.7408859135317039	0.9324762938124428	0.7927236712659012
P_AQ.783	4	3	0	7	7	7	time_endpoint	0.6897101214291776	0.8557958932629909	0.7502482339804215	0.6505979731609371	0.851537369200845	0.5314906383436855	0.5737705077468462	0.6145302343085175
P_AQ.1009	7	0	3	4	7	7	diet_dairy	0.7756120708764322	0.8965701804851551	0.6096213596446083	0.9909044362735474	0.7228912895779658	0.538076227463474	0.9493134753191044	0.721907527371171
P_AQ.893	1	6	7	0	7	7	time_baseline	0.7737225674126884	0.9088547617120109	0.9422116106329792	0.7065894070734009	0.7339821421429527	0.6483340159105593	0.7043782310981782	0.7717078033187383
K07393	0	7	5	2	7	7	diet_meat	0.8434369428313276	0.8679989387438082	0.7293462624199974	0.9959170120613262	0.951391159316224	0.8289187776537444	0.9801581227737935	0.5503283268504007
ENOG410ZNXQ	2	5	7	0	7	7	time_baseline	0.6882208022054659	0.5426925563094865	0.5812411153190419	0.5779439510178053	0.9782110995367658	0.6980572865432988	0.8973553978568848	0.5420442088549783
K07351	0	7	7	0	7	7	diet_meat	0.7491088452199454	0.694518336914217	0.6762394394471929	0.9982839067994572	0.8166857212097094	0.8819809007344801	0.6466204719506509	0.5294331394839109
ENOG410ZPHH	4	3	0	7	7	7	time_endpoint	0.8670887154834576	0.9796875287413066	0.999808997423548	0.626550921777221	0.8197832306278542	0.8732399034894133	0.9872143408866652	0.7833360854381948
K07346	2	5	7	0	7	7	time_baseline	0.8387580237439284	0.9361663096299352	0.8438081284165291	0.6407146756814692	0.8930849042690955	0.8290756436873662	0.9790803515524912	0.7493761529706132
ENOG410ZPNJ	0	7	3	4	7	7	diet_meat	0.7701669448882239	0.715597296855473	0.644655185270589	0.9999761398555091	0.8153516351707304	0.557182140890855	0.8995256715073848	0.758880544667026
N_LP.1005	4	3	7	0	7	7	time_baseline	0.842121434065154	0.9262365130560226	0.8505068608848684	0.6505653526413042	0.9227866748521888	0.8766214777289254	0.8133525406463946	0.8547806186463746
ENOG410ZIG5	6	1	7	0	7	7	time_baseline	0.7703438595116271	0.6896991086665933	0.9277975040705936	0.5786905503313959	0.855906032737947	0.6030834298872582	0.976660602083593	0.760569788804009
P_AQ.1608	2	5	7	0	7	7	time_baseline	0.7927207082261053	0.9213252813006224	0.9992969333400004	0.7174176932479093	0.9314294746103584	0.6060762776478323	0.8213387071569859	0.5521605902790272
K07782	2	5	7	0	7	7	time_baseline	0.8163749914208224	0.8785161223759115	0.9720991995981404	0.6465315299851423	0.753001884793524	0.784849299509015	0.953327124387782	0.7262997792962418
K07592	3	4	7	0	7	7	time_baseline	0.8295322719422858	0.9741075965797068	0.9655960073120164	0.5494896512505012	0.8890152819472454	0.7536956964142616	0.9984483954365372	0.6763732746557315
ENOG410Z8B0	5	2	7	0	7	7	time_baseline	0.6991929827243631	0.508063662185178	0.731742454216771	0.7712300812136501	0.9260779145848952	0.5798544949396667	0.5169300415142514	0.8604522304161297
