Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
COG0050	GTPases - translation elongation factors	"Translation, ribosomal structure and biogenesis"	0.191890873	Meat	0.005206911	0.751940949
COG0268	Ribosomal protein S20	"Translation, ribosomal structure and biogenesis"	0.352392265	Meat	0.005206911	0.751940949
ENOG4111J47	"Transcriptional regulator, MarR Family"	Transcription	1.147641757	Meat	0.005206911	0.751940949
COG1067	Predicted ATP-dependent protease	"Posttranslational modification, protein turnover, chaperones"	1.446093466	Meat	0.005206911	0.751940949
k_Bacteria.p_Actinobacteria.c_Actinomycetia.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium.pseudolongum	NA	NA	1.300891395	Meat	0.005287075	0.751940949
K15711	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A3 [EC:3.6.4.- 2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	2.126635736	Meat	0.005470115	0.751940949
COG3546	Mn-containing catalase	Inorganic ion transport and metabolism	0.362442977	Meat	0.005494111	0.751940949
PF04239	[Protein of unknown function (DUF421)]		0.645388161	Meat	0.005494111	0.751940949
ENOG410XUBN		Function unknown	2.274064298	Meat	0.005791803	0.751940949
K02863	large subunit ribosomal protein L1	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.141122112	Meat	0.005795532	0.751940949
ENOG41123V7		Defense mechanisms	1.647197257	Meat	0.005810777	0.751940949
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae.g_Lactobacillus.s_Unclassified.Lactobacillus	NA	NA	2.25244269	Meat	0.005899932	0.751940949
PF17136	[Ribosomal proteins 50S L24/mitochondrial 39S L24]		0.217276792	Meat	0.006111784	0.751940949
PF13394	[4Fe-4S single cluster domain]		0.269185258	Meat	0.006111784	0.751940949
ENOG410XSU0	(ABC) transporter	Function unknown	1.657011426	Meat	0.006111784	0.751940949
ENOG410XVAX		Function unknown	1.111967387	Meat	0.006262222	0.751940949
COG1540	"Uncharacterized proteins, homologs of lactam utilization protein B"	General function prediction only	0.627586648	Meat	0.006443496	0.751940949
PF12323	[Helix-turn-helix domain]		0.979514482	Meat	0.006443496	0.751940949
ENOG410XR2M	(LipO)protein	Function unknown	2.233490331	Meat	0.006665097	0.751940949
k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacterales.f_Enterobacteriaceae.g_Citrobacter.s_Unclassified.Citrobacter	NA	NA	2.264175777	Meat	0.006787096	0.751940949
COG0166	Glucose-6-phosphate isomerase	Carbohydrate transport and metabolism	0.14023802	Meat	0.006791317	0.751940949
K02909	large subunit ribosomal protein L31	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.240670005	Meat	0.006791317	0.751940949
K02965	small subunit ribosomal protein S19	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.256390705	Meat	0.006791317	0.751940949
COG1974	SOS-response transcriptional repressors (RecA-mediated autopeptidases)	Signal transduction mechanisms|Transcription	0.404749887	Meat	0.006791317	0.751940949
PF01850	[PIN domain]		1.391635914	Meat	0.006791317	0.751940949
COG0503	Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins	Nucleotide transport and metabolism	0.148255984	Meat	0.007155919	0.751940949
COG0186	Ribosomal protein S17	"Translation, ribosomal structure and biogenesis"	0.239387349	Meat	0.007155919	0.751940949
K05311	central glycolytic genes regulator	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	1.345628012	Meat	0.007155919	0.751940949
ENOG410YXTA		Function unknown	1.594017612	Meat	0.007168505	0.751940949
k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacterales.f_Enterobacteriaceae.g_Citrobacter.s_Citrobacter.freundii	NA	NA	2.47885197	Meat	0.007250855	0.751940949
COG1167	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	Amino acid transport and metabolism|Transcription	0.233194365	Meat	0.007537997	0.751940949
PF05067	[Manganese containing catalase]		0.331068418	Meat	0.007537997	0.751940949
k_Bacteria.p_Bacteroidetes.c_Flavobacteriia.o_Flavobacteriales.f_Flavobacteriales.bacterium..no.family.in.NCBI..g_Flavobacteriales.bacterium..no.genus.in.NCBI..s_Flavobacteriales.bacterium	NA	NA	2.761650624	Meat	0.007711724	0.751940949
ENOG410ZEIQ		Function unknown	2.09958676	Meat	0.007912881	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Intestinimonas..no.family.in.NCBI..g_Intestinimonas.s_Intestinimonas.timonensis	NA	NA	2.049993511	Meat	0.007942691	0.751940949
ENOG410YB1Q	PilZ domain	Function unknown	1.306892574	Meat	0.008166752	0.751940949
ENOG4112A2A	FtsX-like permease family	Defense mechanisms	1.897907316	Meat	0.008209528	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Hydrogeniiclostidium.s_Unclassified.Hydrogeniiclostidium	NA	NA	2.228490132	Meat	0.008217055	0.751940949
COG1702	"Phosphate starvation-inducible protein PhoH, predicted ATPase"	Signal transduction mechanisms	0.161013055	Meat	0.008357468	0.751940949
K04488	nitrogen fixation protein NifU and related proteins	Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism	0.270457127	Meat	0.008357468	0.751940949
COG4643	Uncharacterized protein conserved in bacteria	Function unknown	1.907140131	Meat	0.008574909	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Peptostreptococcaceae.g_Terrisporobacter.s_Terrisporobacter.glycolicus	NA	NA	2.967426146	Meat	0.008585157	0.751940949
COG0528	Uridylate kinase	Nucleotide transport and metabolism	0.135310891	Meat	0.008796362	0.751940949
COG0254	Ribosomal protein L31	"Translation, ribosomal structure and biogenesis"	0.289990693	Meat	0.008796362	0.751940949
ENOG4110WG0	Helix-turn-helix	Function unknown	1.391468371	Meat	0.008796362	0.751940949
COG3440	Predicted restriction endonuclease	"('{} (path not available)', 'COG3440')"	1.475018364	Meat	0.008796362	0.751940949
COG1923	Uncharacterized host factor I protein	General function prediction only	1.014740184	Meat	0.009254397	0.751940949
PF12821	"[Threonine/Serine exporter, ThrE]"		0.218960041	Meat	0.009255735	0.751940949
PF13654	[AAA domain]		1.395278069	Meat	0.009255735	0.751940949
COG1623	Predicted nucleic-acid-binding protein (contains the HHH domain)	General function prediction only	1.418321725	Meat	0.009255735	0.751940949
ENOG410XS1T		Function unknown	0.765217507	Meat	0.009363101	0.751940949
ENOG4111IDM	glycosyl transferase group 1	Cell wall/membrane/envelope biogenesis	2.063514886	Meat	0.009724472	0.751940949
K03666	host factor-I protein	"Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"	0.982622621	Meat	0.009735006	0.751940949
COG0020	Undecaprenyl pyrophosphate synthase	Lipid metabolism	0.144752907	Meat	0.009736398	0.751940949
PF03147	[Ferredoxin-fold anticodon binding domain]		0.158838407	Meat	0.009736398	0.751940949
COG0202	"DNA-directed RNA polymerase, alpha subunit/40 kD subunit"	Transcription	0.168954786	Meat	0.009736398	0.751940949
PF14437	[MafB19-like deaminase]		0.179037689	Meat	0.009736398	0.751940949
COG0100	Ribosomal protein S11	"Translation, ribosomal structure and biogenesis"	0.180250491	Meat	0.009736398	0.751940949
COG0361	Translation initiation factor 1 (IF-1)	"Translation, ribosomal structure and biogenesis"	0.180871221	Meat	0.009736398	0.751940949
PF00164	[Ribosomal protein S12/S23]		0.182829186	Meat	0.010239183	0.751940949
COG0256	Ribosomal protein L18	"Translation, ribosomal structure and biogenesis"	0.207707002	Meat	0.010239183	0.751940949
PF04860	[Phage portal protein]		0.696310295	Meat	0.010239183	0.751940949
COG2856	Predicted Zn peptidase	Amino acid transport and metabolism	0.982139227	Meat	0.010239183	0.751940949
COG1972	Nucleoside permease	Nucleotide transport and metabolism	1.092066759	Meat	0.010239183	0.751940949
PF14336	[Domain of unknown function (DUF4392)]		2.029320449	Meat	0.010758948	0.751940949
PF02800	"[Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain]"		0.279824198	Meat	0.010764951	0.751940949
PF00561	[alpha/beta hydrolase fold]		0.402033316	Meat	0.010764951	0.751940949
PF04324	[BFD-like [2Fe-2S] binding domain]		0.492054983	Meat	0.010764951	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Hydrogeniiclostidium.s_Hydrogeniiclostidium.mannosilyticum	NA	NA	2.29690358	Meat	0.010817477	0.751940949
ENOG410XRDJ	(ABC) transporter	Function unknown	1.246183542	Meat	0.011035199	0.751940949
ENOG410ZW0D		Function unknown	1.804958856	Meat	0.011308353	0.751940949
COG0504	CTP synthase (UTP-ammonia lyase)	Nucleotide transport and metabolism	0.132819747	Meat	0.011314585	0.751940949
K06334	spore coat protein JC	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	0.395399947	Meat	0.011314585	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Peptostreptococcaceae.g_Terrisporobacter.s_Unclassified.Terrisporobacter	NA	NA	2.07723216	Meat	0.011314585	0.751940949
K14333	"2,3-dihydroxybenzoate decarboxylase [EC:4.1.1.46]"	Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation	1.626048118	Meat	0.011676804	0.751940949
PF01668	[SmpB protein]		0.172085185	Meat	0.011888994	0.751940949
COG0563	Adenylate kinase and related kinases	Nucleotide transport and metabolism	0.173899721	Meat	0.011888994	0.751940949
COG0238	Ribosomal protein S18	"Translation, ribosomal structure and biogenesis"	0.193573365	Meat	0.011888994	0.751940949
PF00828	"[Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A]"		0.217775993	Meat	0.011888994	0.751940949
PF06738	[Putative threonine/serine exporter]		0.230495176	Meat	0.011888994	0.751940949
COG0595	Predicted hydrolase of the metallo-beta-lactamase superfamily	General function prediction only	0.254544336	Meat	0.011888994	0.751940949
COG1841	Ribosomal protein L30/L7E	"Translation, ribosomal structure and biogenesis"	0.406128493	Meat	0.011888994	0.751940949
PF03746	[LamB/YcsF family]		0.607670925	Meat	0.011888994	0.751940949
K06320	spore maturation protein CgeB	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	1.491673852	Meat	0.012290435	0.751940949
PF04168	[A predicted alpha-helical domain with a conserved ER motif.]		1.929446344	Meat	0.012482405	0.751940949
COG1488	Nicotinic acid phosphoribosyltransferase	Coenzyme metabolism	0.206116953	Meat	0.012489113	0.751940949
PF12146	"[Serine aminopeptidase, S33]"		0.248865836	Meat	0.012489113	0.751940949
COG1069	Ribulose kinase	Energy production and conversion	1.220070163	Meat	0.012489113	0.751940949
ENOG41120BI		Function unknown	1.802067952	Meat	0.012735783	0.751940949
COG5618	Predicted periplasmic lipoprotein	General function prediction only	1.401206123	Meat	0.012782038	0.751940949
K05521	ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.360668551	Meat	0.012856127	0.751940949
PF01985	[CRS1 / YhbY (CRM) domain]		0.281465773	Meat	0.013115904	0.751940949
COG0579	Predicted dehydrogenase	General function prediction only	0.414206778	Meat	0.013115904	0.751940949
PF02626	"[Carboxyltransferase domain, subdomain A and B ]"		0.623819073	Meat	0.013115904	0.751940949
PF01514	[Secretory protein of YscJ/FliF family]		0.758547934	Meat	0.013115904	0.751940949
COG3599	Cell division initiation protein	Cell division and chromosome partitioning	0.793938956	Meat	0.013115904	0.751940949
ENOG411015J	stage III sporulation protein AE	Function unknown	2.168381376	Meat	0.01338012	0.751940949
K06901	"putative MFS transporter, AGZA family, xanthine/uracil permease"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.277982884	Meat	0.013770353	0.751940949
COG3238	Uncharacterized protein conserved in bacteria	Function unknown	0.609706383	Meat	0.013770353	0.751940949
ENOG4111FYK		Function unknown	0.610136138	Meat	0.013770353	0.751940949
PF18840	[]		0.878809199	Meat	0.013770353	0.751940949
K06895	L-lysine exporter family protein LysE/ArgO	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.933015562	Meat	0.013770353	0.751940949
PF13814	[Replication-relaxation]		0.998635052	Meat	0.01396003	0.751940949
ENOG410Y1RD	"Resolvase, N terminal domain"	"Replication, recombination and repair"	1.88575131	Meat	0.014434793	0.751940949
COG0522	Ribosomal protein S4 and related proteins	"Translation, ribosomal structure and biogenesis"	0.146923248	Meat	0.014453473	0.751940949
COG0756	dUTPase	Nucleotide transport and metabolism	0.189900433	Meat	0.014453473	0.751940949
K02876	large subunit ribosomal protein L15	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.194150416	Meat	0.014453473	0.751940949
K09936	bacterial/archaeal transporter family-2 protein	Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.559859941	Meat	0.014453473	0.751940949
K01507	inorganic pyrophosphatase [EC:3.6.1.1]	Metabolism; Energy metabolism; Oxidative phosphorylation	0.561503586	Meat	0.014453473	0.751940949
PF04657	"[Putative inner membrane exporter, YdcZ ]"		0.592811747	Meat	0.014453473	0.751940949
COG1279	Lysine efflux permease	General function prediction only	0.982024788	Meat	0.014453473	0.751940949
PF01773	[Na+ dependent nucleoside transporter N-terminus]		1.176706159	Meat	0.014453473	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Anaerobutyricum.s_Unclassified.Anaerobutyricum	NA	NA	2.319153072	Meat	0.014453473	0.751940949
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides.eggerthii	NA	NA	1.611306628	Meat	0.014718007	0.751940949
K05916	nitric oxide dioxygenase [EC:1.14.12.17]	Human Diseases; Infectious diseases: Bacterial; Salmonella infection	1.389528718	Meat	0.015146954	0.751940949
ENOG411008E		Function unknown	1.43918269	Meat	0.015161408	0.751940949
COG0097	Ribosomal protein L6P/L9E	"Translation, ribosomal structure and biogenesis"	0.170777019	Meat	0.015166305	0.751940949
COG0200	Ribosomal protein L15	"Translation, ribosomal structure and biogenesis"	0.201711785	Meat	0.015166305	0.751940949
PF06953	[Arsenical resistance operon trans-acting repressor ArsD]		1.80446443	Meat	0.015471557	0.751940949
ENOG4111G2M	Phage recombination protein Bet	"Replication, recombination and repair"	0.77130038	Meat	0.015693413	0.751940949
COG0137	Argininosuccinate synthase	Amino acid transport and metabolism	0.110398949	Meat	0.015909916	0.751940949
PF00044	"[Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain]"		0.183025581	Meat	0.015909916	0.751940949
K02961	small subunit ribosomal protein S17	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.189468995	Meat	0.015909916	0.751940949
ENOG410XUXP	"Preprotein translocase, secE subunit"	"Intracellular trafficking, secretion, and vesicular transport"	0.402668156	Meat	0.015909916	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Clostridium.s_Unclassified.Clostridium	NA	NA	0.859799253	Meat	0.015909916	0.751940949
PF07662	[Na+ dependent nucleoside transporter C-terminus]		1.025117727	Meat	0.015909916	0.751940949
K07067	diadenylate cyclase [EC:2.7.7.85]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.403259478	Meat	0.015909916	0.751940949
COG4325	Predicted membrane protein	Function unknown	1.225761135	Meat	0.016122513	0.751940949
ENOG410XTAF	EamA-like transporter family	Function unknown	1.07246165	Meat	0.016132978	0.751940949
COG3726	Uncharacterized membrane protein affecting hemolysin expression	General function prediction only	1.378553435	Meat	0.01635011	0.751940949
ENOG410XP2B	Transcriptional regulator	Transcription	1.271368977	Meat	0.0166771	0.751940949
K02988	small subunit ribosomal protein S5	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.166214477	Meat	0.016685399	0.751940949
PF06161	[Protein of unknown function (DUF975)]		0.331091834	Meat	0.016685399	0.751940949
K02400	flagellar biosynthesis protein FlhA	Cellular Processes; Cell motility; Flagellar assembly | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins	0.862653868	Meat	0.016685399	0.751940949
K19231	fibronectin-binding autotransporter adhesin	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.717887761	Meat	0.017147135	0.751940949
ENOG410XR0I	ATP-dependent endonuclease of the OLD family-like protein	Function unknown	1.337629898	Meat	0.017437067	0.751940949
k_Archaea.p_Euryarchaeota.c_Methanobacteria.o_Methanobacteriales.f_Methanobacteriaceae.g_Methanobrevibacter.s_Unclassified.Methanobrevibacter	NA	NA	1.786008577	Meat	0.017437067	0.751940949
COG0387	Ca2+/H+ antiporter	Inorganic ion transport and metabolism	1.467099421	Meat	0.017450954	0.751940949
K01733	threonine synthase [EC:4.2.3.1]	"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism"	0.121677846	Meat	0.017493875	0.751940949
PF00391	"[PEP-utilising enzyme, mobile domain]"		0.196443499	Meat	0.017493875	0.751940949
PF00986	"[DNA gyrase B subunit, carboxyl terminus]"		0.207397906	Meat	0.017493875	0.751940949
COG1207	N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains)	"Cell envelope biogenesis, outer membrane"	0.397449205	Meat	0.017493875	0.751940949
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Coprobacillaceae.g_Catenibacterium.s_Unclassified.Catenibacterium	NA	NA	1.432183936	Meat	0.017493875	0.751940949
ENOG410XSKF	Type II restriction	Defense mechanisms	1.629039483	Meat	0.017493875	0.751940949
ENOG4111M1V	metallo-beta-lactamase	Function unknown	1.503514684	Meat	0.017878365	0.751940949
K18907	"GntR family transcriptional regulator, regulator for abcA and norABC"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	2.443714008	Meat	0.018212283	0.751940949
K06217	phosphate starvation-inducible protein PhoH and related proteins	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Signaling proteins	0.106412069	Meat	0.018336494	0.751940949
COG0099	Ribosomal protein S13	"Translation, ribosomal structure and biogenesis"	0.158856508	Meat	0.018336494	0.751940949
COG0822	NifU homolog involved in Fe-S cluster formation	Energy production and conversion	0.17744997	Meat	0.018336494	0.751940949
COG0103	Ribosomal protein S9	"Translation, ribosomal structure and biogenesis"	0.178434178	Meat	0.018336494	0.751940949
COG0227	Ribosomal protein L28	"Translation, ribosomal structure and biogenesis"	0.308561691	Meat	0.018336494	0.751940949
COG0255	Ribosomal protein L29	"Translation, ribosomal structure and biogenesis"	0.367617764	Meat	0.018336494	0.751940949
PF02368	[Bacterial Ig-like domain (group 2)]		0.444253106	Meat	0.018336494	0.751940949
COG3723	Recombinational DNA repair protein (RecE pathway)	"DNA replication, recombination and repair"	1.198165726	Meat	0.018336494	0.751940949
COG3683	"ABC-type uncharacterized transport system, periplasmic component"	General function prediction only	1.224191427	Meat	0.018406688	0.751940949
K06120	glycerol dehydratase large subunit [EC:4.2.1.30]	Metabolism; Lipid metabolism; Glycerolipid metabolism	1.147506979	Meat	0.018449904	0.751940949
COG2931	RTX toxins and related Ca2+-binding proteins	"Secondary metabolites biosynthesis, transport and catabolism"	1.670722093	Meat	0.018943411	0.751940949
K20276	large repetitive protein	Cellular Processes; Cellular community - prokaryotes; Quorum sensing	1.930132491	Meat	0.019060021	0.751940949
PF18525	[]		2.720494411	Meat	0.019207702	0.751940949
PF02682	"[Carboxyltransferase domain, subdomain C and D]"		0.553490069	Meat	0.01921443	0.751940949
COG1584	Predicted membrane protein	Function unknown	1.101670513	Meat	0.01921443	0.751940949
ENOG4112703		Function unknown	1.547608338	Meat	0.019367305	0.751940949
PF06689	[ClpX C4-type zinc finger]		0.164206966	Meat	0.020128887	0.751940949
PF00572	[Ribosomal protein L13]		0.208776711	Meat	0.020128887	0.751940949
PF00366	[Ribosomal protein S17]		0.213836653	Meat	0.020128887	0.751940949
K03408	purine-binding chemotaxis protein CheW	Environmental Information Processing; Signal transduction; Two-component system | Cellular Processes; Cell motility; Bacterial chemotaxis | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins	0.752022089	Meat	0.020128887	0.751940949
ENOG4111U17		Function unknown	0.930556681	Meat	0.020128887	0.751940949
